name,start,end,location
Rev-sRNA-177,338890,338959,Sense to gene-Rv0279c
Rev-sRNA-178,341777,341807,Antisense to gene-Rv0281
Rev-sRNA-179,341887,342006,Intergenic
Rev-sRNA-180,344855,344923,Antisense to gene-Rv0283
Rev-sRNA-184,357337,357359,Sense to gene-Rv0293c
Rev-sRNA-186,383421,383514,Sense to gene-Rv0314c
Rev-sRNA-187,385774,385895,Sense to gene-Rv0317c
Rev-sRNA-188,385909,385985,Intergenic
Rev-sRNA-189,386109,386281,Intergenic
Rev-sRNA-191,402015,402130,Sense to gene-Rv0337c
Rev-sRNA-192,402427,402449,Sense to gene-Rv0337c
Rev-sRNA-193,403214,403300,Sense to gene-Rv0338c
Rev-sRNA-194,403651,403673,Sense to gene-Rv0338c
Rev-sRNA-195,403868,404074,Sense to gene-Rv0338c
Rev-sRNA-196,404423,404570,Sense to gene-Rv0338c
Rev-sRNA-197,410816,410876,Antisense to gene-Rv0342
Rev-sRNA-198,411375,411430,Antisense to gene-Rv0342
Rev-sRNA-200,415506,415547,Sense to gene-Rv0346c
Rev-sRNA-201,415973,416079,Sense to gene-Rv0346c
Rev-sRNA-202,416856,416962,Sense to gene-Rv0346c
Rev-sRNA-203,441607,441672,Sense to gene-Rv0363c
Rev-sRNA-204,441705,441731,Sense to gene-Rv0363c
Rev-sRNA-207,456555,456664,Sense to gene-Rv0380c
Rev-sRNA-208,457988,458194,Sense to gene-Rv0382c
Rev-sRNA-209,458284,458488,Intergenic
Rev-sRNA-210,458573,458602,Sense to gene-Rv0383c
Rev-sRNA-212,458779,459003,Sense to gene-Rv0383c
Rev-sRNA-213,459036,459316,Sense to gene-Rv0383c
Rev-sRNA-214,459399,459442,Intergenic
Rev-sRNA-218,474074,474186,Sense to gene-Rv0394c
Rev-sRNA-219,474291,474373,Sense to gene-Rv0394c
Rev-sRNA-220,479453,479476,Sense to gene-Rv0400c
Rev-sRNA-221,490597,490654,Sense to gene-Rv0406c
Rev-sRNA-222,496090,496190,Sense to gene-Rv0410c
Rev-sRNA-223,496302,496374,Sense to gene-Rv0410c
Rev-sRNA-224,497234,497274,Sense to gene-Rv0410c
Rev-sRNA-225,497801,498009,Sense to gene-Rv0411c
Rev-sRNA-227,499463,499619,Intergenic
Rev-sRNA-228,506999,507040,Intergenic
Rev-sRNA-229,507083,507132,Intergenic
Rev-sRNA-230,507848,507903,Sense to gene-Rv0422c
Rev-sRNA-232,509371,509396,Sense to gene-Rv0423c
Rev-sRNA-233,509701,509792,Sense to gene-Rv0423c
Rev-sRNA-234,509943,510088,Sense to gene-Rv0423c
Rev-sRNA-235,510104,510167,Sense to gene-Rv0423c
Rev-sRNA-236,510190,510221,Sense to gene-Rv0423c
Rev-sRNA-237,510257,510308,Intergenic
Rev-sRNA-239,513937,514049,Sense to gene-Rv0425c
Rev-sRNA-240,514368,514430,Sense to gene-Rv0425c
Rev-sRNA-241,516569,516692,Sense to gene-Rv0427c
Rev-sRNA-242,518063,518108,Sense to gene-Rv0429c
Rev-sRNA-243,522269,522326,Intergenic
Rev-sRNA-244,523032,523078,Sense to gene-Rv0435c
Rev-sRNA-246,524905,524930,Sense to gene-Rv0436c
Rev-sRNA-247,524936,525013,Sense to gene-Rv0436c
Rev-sRNA-248,525396,525449,Sense to gene-Rv0437c
Rev-sRNA-250,527991,528011,Sense to gene-Rv0439c
Rev-sRNA-251,528017,528092,Sense to gene-Rv0439c
Rev-sRNA-252,530239,530349,Intergenic
Rev-sRNA-255,532115,532307,Sense to gene-Rv0442c
Rev-sRNA-256,532913,532951,Intergenic
Rev-sRNA-258,533433,533552,Sense to gene-Rv0444c
Rev-sRNA-259,533561,533645,Sense to gene-Rv0444c
Rev-sRNA-261,533904,533990,Sense to gene-Rv0445c
Rev-sRNA-262,534288,534397,Sense to gene-Rv0445c
Rev-sRNA-265,535589,535636,Sense to gene-Rv0447c
Rev-sRNA-266,538422,538632,Sense to gene-Rv0449c
Rev-sRNA-267,538877,539001,Sense to gene-Rv0450c
Rev-sRNA-269,540312,540379,Sense to gene-Rv0450c
Rev-sRNA-270,541386,541448,Sense to gene-Rv0450c
Rev-sRNA-271,541868,541937,Sense to gene-Rv0451c
Rev-sRNA-274,544623,544645,Antisense to gene-Rv0453
Rev-sRNA-275,544651,544681,Antisense to gene-Rv0453
Rev-sRNA-276,544970,545095,Intergenic
Rev-sRNA-277,545341,545465,Sense to gene-Rv0455c
Rev-sRNA-278,545529,545558,Sense to gene-Rv0455c
Rev-sRNA-279,545651,545821,Intergenic
Rev-sRNA-280,547359,547481,Sense to gene-Rv0456B
Rev-sRNA-281,548196,548245,Sense to gene-Rv0457c
Rev-sRNA-282,548413,548509,Sense to gene-Rv0457c
Rev-sRNA-286,551983,552196,Antisense to gene-Rv0461
Rev-sRNA-287,554030,554070,Antisense to gene-Rv0463
Rev-sRNA-288,554396,554612,Sense to gene-Rv0464c
Rev-sRNA-289,554685,554804,Sense to gene-Rv0464c
Rev-sRNA-291,554967,555043,Sense to gene-Rv0465c
Rev-sRNA-292,555079,555109,Sense to gene-Rv0465c
Rev-sRNA-293,561033,561115,Sense to gene-Rv0470c
Rev-sRNA-294,561457,561617,Sense to gene-Rv0470c
Rev-sRNA-295,561663,561704,Sense to gene-Rv0470c
Rev-sRNA-296,561710,561764,Intergenic
Rev-sRNA-299,567963,567988,Sense to gene-Rv0479c
Rev-sRNA-302,568140,568210,Sense to gene-Rv0479c
Rev-sRNA-303,568290,568382,Sense to gene-Rv0479c
Rev-sRNA-304,573372,573408,Sense to gene-Rv0484c
Rev-sRNA-305,573576,573673,Sense to gene-Rv0484c
Rev-sRNA-306,574182,574257,Antisense to gene-Rv0485
Rev-sRNA-309,593089,593109,Antisense to gene-Rv0502
Rev-sRNA-311,594533,594588,Sense to gene-Rv0503c
Rev-sRNA-312,594603,594661,Sense to gene-Rv0503c
Rev-sRNA-315,608287,608411,Sense to gene-Rv0516c
Rev-sRNA-316,624445,624554,Antisense to gene-Rv0532
Rev-sRNA-318,624601,624752,Sense to gene-Rv0533c
Rev-sRNA-319,625093,625129,Sense to gene-Rv0533c
Rev-sRNA-321,625157,625198,Sense to gene-Rv0533c
Rev-sRNA-322,625296,625328,Sense to gene-Rv0533c
Rev-sRNA-323,628001,628092,Antisense to gene-Rv0536
Rev-sRNA-324,629113,629215,Sense to gene-Rv0537c
Rev-sRNA-325,631628,631650,Antisense to gene-Rv0538
Rev-sRNA-326,631833,631940,Antisense to gene-Rv0539
Rev-sRNA-327,634254,634640,Sense to gene-Rv0542c
Rev-sRNA-329,635806,635852,Sense to gene-Rv0543c
Rev-sRNA-330,636066,636169,Sense to gene-Rv0544c
Rev-sRNA-331,636201,636255,Sense to gene-Rv0545c
Rev-sRNA-332,636269,636389,Sense to gene-Rv0545c
Rev-sRNA-333,636397,636423,Sense to gene-Rv0545c
Rev-sRNA-334,636429,636468,Sense to gene-Rv0545c
Rev-sRNA-335,636714,636864,Sense to gene-Rv0545c
Rev-sRNA-337,637008,637056,Sense to gene-Rv0545c
Rev-sRNA-338,637091,637239,Sense to gene-Rv0545c
Rev-sRNA-339,637291,637407,Sense to gene-Rv0545c
Rev-sRNA-342,637848,637904,Sense to gene-Rv0546c
Rev-sRNA-343,638930,639033,Intergenic
Rev-sRNA-344,639754,639836,Sense to gene-Rv0548c
Rev-sRNA-345,639843,639979,Sense to gene-Rv0548c
Rev-sRNA-347,650324,650484,Intergenic
Rev-sRNA-348,650493,650525,Sense to gene-Rv0559c
Rev-sRNA-349,650532,650745,Intergenic
Rev-sRNA-350,664790,664912,Intergenic
Rev-sRNA-351,672104,672170,Sense to gene-Rv0578c
Rev-sRNA-352,672494,672539,Sense to gene-Rv0578c
Rev-sRNA-353,675754,675887,Sense to gene-Rv0578c
Rev-sRNA-354,675905,676032,Intergenic
Rev-sRNA-355,705666,705747,Sense to gene-Rv0610c
Rev-sRNA-356,705756,705826,Sense to gene-Rv0610c
Rev-sRNA-357,706092,706241,Sense to gene-Rv0611c
Rev-sRNA-358,708239,708283,Sense to gene-Rv0613c
Rev-sRNA-359,708738,708814,Sense to gene-Rv0613c
Rev-sRNA-360,708946,709005,Sense to gene-Rv0613c
Rev-sRNA-361,709173,709234,Sense to gene-Rv0613c
Rev-sRNA-362,728583,728606,Intergenic
Rev-sRNA-363,728952,729003,Sense to gene-Rv0632c
Rev-sRNA-364,729014,729044,Sense to gene-Rv0632c
Rev-sRNA-365,730925,731003,Sense to gene-Rv0634c
Rev-sRNA-367,736242,736427,Sense to gene-Rv0642c
Rev-sRNA-368,736502,736656,Sense to gene-Rv0642c
Rev-sRNA-369,736729,736854,Sense to gene-Rv0642c
Rev-sRNA-370,737582,737675,Sense to gene-Rv0643c
Rev-sRNA-371,737760,737856,Sense to gene-Rv0643c
Rev-sRNA-372,737905,738037,Sense to gene-Rv0643c
Rev-sRNA-373,738262,738311,Intergenic
Rev-sRNA-375,738717,738837,Sense to gene-Rv0644c
Rev-sRNA-377,739017,739055,Sense to gene-Rv0644c
Rev-sRNA-378,739997,740031,Sense to gene-Rv0645c
Rev-sRNA-379,740038,740091,Sense to gene-Rv0645c
Rev-sRNA-380,740098,740287,Intergenic
Rev-sRNA-381,740867,741025,Sense to gene-Rv0646c
Rev-sRNA-383,741156,741252,Sense to gene-Rv0647c
Rev-sRNA-384,741293,741348,Sense to gene-Rv0647c
Rev-sRNA-386,741635,741845,Sense to gene-Rv0647c
Rev-sRNA-388,741920,741980,Sense to gene-Rv0647c
Rev-sRNA-389,742032,742297,Sense to gene-Rv0647c
Rev-sRNA-390,742396,742464,Sense to gene-Rv0647c
Rev-sRNA-393,754640,754663,Intergenic
Rev-sRNA-396,754733,755222,Sense to gene-Rv0659c
Rev-sRNA-398,775506,775568,Antisense to gene-Rv0675
Rev-sRNA-401,775742,776624,Sense to gene-Rv0676c
Rev-sRNA-402,776668,778501,Sense to gene-Rv0676c
Rev-sRNA-403,778507,778550,Sense to gene-Rv0677c
Rev-sRNA-404,778605,778965,Sense to gene-Rv0677c
Rev-sRNA-405,791161,791209,Sense to gene-Rv0691c
Rev-sRNA-407,806202,806281,Intergenic
Rev-sRNA-410,841824,841913,Sense to gene-Rv0749A
Rev-sRNA-414,850563,850624,Intergenic
Rev-sRNA-415,850631,850723,Sense to gene-Rvnt09
Rev-sRNA-416,851614,851744,Antisense to gene-Rv0757
Rev-sRNA-417,852514,852683,Antisense to gene-Rv0758
Rev-sRNA-418,854530,854673,Sense to gene-Rv0760c
Rev-sRNA-419,855028,855074,Sense to gene-Rv0761c
Rev-sRNA-420,867277,867329,Sense to gene-Rv0773c
Rev-sRNA-421,868216,868337,Sense to gene-Rv0774c
Rev-sRNA-422,877103,877183,Sense to gene-Rv0783c
Rev-sRNA-423,878156,878267,Sense to gene-Rv0783c
Rev-sRNA-424,878368,878414,Sense to gene-Rv0783c
Rev-sRNA-425,882026,882077,Antisense to gene-Rv0787
Rev-sRNA-427,882090,882115,Antisense to gene-Rv0787
Rev-sRNA-428,882181,882248,Antisense to gene-Rv0787
Rev-sRNA-429,882257,882387,Antisense to gene-Rv0787
Rev-sRNA-432,890867,890999,Antisense to gene-Rv0797
Rev-sRNA-433,904936,905169,Sense to gene-Rv0810c
Rev-sRNA-434,907455,907512,Sense to gene-Rv0813c
Rev-sRNA-435,907521,907542,Sense to gene-Rv0813c
Rev-sRNA-436,907613,907722,Sense to gene-Rv0813c
Rev-sRNA-437,907775,907898,Sense to gene-Rv0813c
Rev-sRNA-438,907952,908196,Intergenic
Rev-sRNA-440,908447,908477,Sense to gene-Rv0814c
Rev-sRNA-441,908489,908539,Sense to gene-Rv0815c
Rev-sRNA-443,909075,909118,Sense to gene-Rv0815c
Rev-sRNA-444,909328,909369,Intergenic
Rev-sRNA-446,909490,909541,Intergenic
Rev-sRNA-447,913446,913574,Intergenic
Rev-sRNA-448,914075,914199,Intergenic
Rev-sRNA-449,915355,915454,Sense to gene-Rv0822c
Rev-sRNA-452,916205,916464,Intergenic
Rev-sRNA-453,916839,917098,Sense to gene-Rv0823c
Rev-sRNA-455,917416,918067,Sense to gene-Rv0824c
Rev-sRNA-457,918103,918126,Sense to gene-Rv0824c
Rev-sRNA-458,918132,918202,Sense to gene-Rv0824c
Rev-sRNA-459,918237,918780,Sense to gene-Rv0824c
Rev-sRNA-462,921785,921831,Intergenic
Rev-sRNA-463,923590,923696,Sense to gene-Rv0831c
Rev-sRNA-464,923800,923875,Sense to gene-Rvnt10
Rev-sRNA-466,927551,927623,Antisense to gene-Rv0833
Rev-sRNA-467,927661,927711,Intergenic
Rev-sRNA-469,937879,938239,Intergenic
Rev-sRNA-473,941039,941120,Sense to gene-Rv0844c
Rev-sRNA-474,958888,958942,Sense to gene-Rv0861c
Rev-sRNA-477,964165,964194,Antisense to gene-Rv0866
Rev-sRNA-478,964297,964472,Sense to gene-Rv0867c
Rev-sRNA-479,965069,965177,Sense to gene-Rv0867c
Rev-sRNA-480,965217,965317,Sense to gene-Rv0867c
Rev-sRNA-481,965412,965463,Sense to gene-Rv0867c
Rev-sRNA-482,965639,965811,Intergenic
Rev-sRNA-483,965981,966077,Sense to gene-Rv0868c
Rev-sRNA-485,966948,967043,Sense to gene-Rv0869c
Rev-sRNA-486,967144,967374,Sense to gene-Rv0869c
Rev-sRNA-488,967694,967748,Sense to gene-Rv0870c
Rev-sRNA-489,970257,970282,Intergenic
Rev-sRNA-491,975028,975137,Sense to gene-Rv0876c
Rev-sRNA-492,975145,975224,Sense to gene-Rv0876c
Rev-sRNA-496,978662,978757,Sense to gene-Rv0879c
Rev-sRNA-497,981975,982169,Sense to gene-Rv0884c
Rev-sRNA-502,987119,987161,Intergenic
Rev-sRNA-503,988082,988276,Antisense to gene-Rv0888
Rev-sRNA-504,989633,989682,Sense to gene-Rv0889c
Rev-sRNA-505,989762,989801,Sense to gene-Rv0889c
Rev-sRNA-506,989808,989861,Intergenic
Rev-sRNA-507,1006628,1006670,Intergenic
Rev-sRNA-508,1025318,1025483,Intergenic
Rev-sRNA-509,1029988,1030049,Sense to gene-Rv0923c
Rev-sRNA-510,1037552,1037629,Antisense to gene-Rv0930
Rev-sRNA-511,1037640,1037669,Antisense to gene-Rv0930
Rev-sRNA-512,1037861,1037938,Antisense to gene-Rv0930
Rev-sRNA-513,1038259,1038389,Sense to gene-Rv0931c
Rev-sRNA-514,1038470,1038515,Sense to gene-Rv0931c
Rev-sRNA-515,1038642,1038782,Sense to gene-Rv0931c
Rev-sRNA-516,1038915,1038953,Sense to gene-Rv0931c
Rev-sRNA-517,1038964,1039022,Sense to gene-Rv0931c
Rev-sRNA-518,1039277,1039419,Sense to gene-Rv0931c
Rev-sRNA-519,1039455,1039479,Sense to gene-Rv0931c
Rev-sRNA-520,1039487,1039522,Sense to gene-Rv0931c
Rev-sRNA-521,1039620,1039820,Sense to gene-Rv0931c
Rev-sRNA-522,1039986,1040261,Sense to gene-Rv0932c
Rev-sRNA-524,1040275,1040540,Sense to gene-Rv0932c
Rev-sRNA-525,1040564,1040628,Sense to gene-Rv0932c
Rev-sRNA-526,1040641,1040910,Sense to gene-Rv0932c
Rev-sRNA-527,1040916,1041165,Sense to gene-Rv0932c
Rev-sRNA-528,1045897,1046032,Sense to gene-Rv0937c
Rev-sRNA-529,1051215,1051307,Sense to gene-Rv0940c
Rev-sRNA-530,1057983,1058032,Intergenic
Rev-sRNA-531,1058042,1058088,Intergenic
Rev-sRNA-532,1060622,1060644,Intergenic
Rev-sRNA-533,1061186,1061212,Sense to gene-Rv0950c
Rev-sRNA-534,1061316,1061389,Sense to gene-Rv0950c
Rev-sRNA-535,1061395,1061417,Sense to gene-Rv0950c
Rev-sRNA-536,1061465,1061540,Sense to gene-Rv0950c
Rev-sRNA-539,1061670,1061729,Intergenic
Rev-sRNA-540,1077606,1077691,Sense to gene-Rv0966c
Rev-sRNA-541,1083496,1083579,Sense to gene-Rv0972c
Rev-sRNA-542,1086083,1086153,Sense to gene-Rv0974c
Rev-sRNA-546,1089478,1089608,Sense to gene-Rv0976c
Rev-sRNA-548,1089625,1089711,Sense to gene-Rv0976c
Rev-sRNA-549,1099550,1099581,Antisense to gene-Rv0983
Rev-sRNA-551,1115016,1115209,Antisense to gene-Rv0998
Rev-sRNA-552,1126085,1126248,Sense to gene-Rv1007c
Rev-sRNA-554,1126416,1126438,Sense to gene-Rv1007c
Rev-sRNA-556,1133276,1133352,Intergenic
Rev-sRNA-557,1133360,1133386,Sense to gene-Rv1014c
Rev-sRNA-558,1133868,1133985,Sense to gene-Rv1015c
Rev-sRNA-559,1134279,1134300,Sense to gene-Rv1015c
Rev-sRNA-561,1134602,1134697,Intergenic
Rev-sRNA-562,1135357,1135429,Sense to gene-Rv1016c
Rev-sRNA-563,1135802,1135882,Sense to gene-Rv1017c
Rev-sRNA-564,1135952,1135987,Sense to gene-Rv1017c
Rev-sRNA-565,1136022,1136137,Sense to gene-Rv1017c
Rev-sRNA-566,1136430,1136503,Sense to gene-Rv1017c
Rev-sRNA-567,1136935,1136972,Sense to gene-Rv1018c
Rev-sRNA-568,1137271,1137340,Sense to gene-Rv1018c
Rev-sRNA-569,1138071,1138148,Sense to gene-Rvnt16
Rev-sRNA-570,1142225,1142252,Antisense to gene-Rv1020
Rev-sRNA-571,1148076,1148108,Intergenic
Rev-sRNA-572,1148115,1148171,Intergenic
Rev-sRNA-573,1150624,1150646,Sense to gene-Rv1028c
Rev-sRNA-574,1150692,1150712,Sense to gene-Rv1028c
Rev-sRNA-577,1160355,1160434,Intergenic
Rev-sRNA-578,1160480,1160595,Intergenic
Rev-sRNA-579,1165261,1165383,Sense to gene-Rv1041c
Rev-sRNA-580,1165548,1165613,Intergenic
Rev-sRNA-581,1166675,1166768,Sense to gene-Rv1043c
Rev-sRNA-582,1168671,1168723,Intergenic
Rev-sRNA-583,1169157,1169280,Intergenic
Rev-sRNA-584,1169362,1169430,Intergenic
Rev-sRNA-585,1194187,1194268,Sense to gene-Rv1069c
Rev-sRNA-586,1194431,1194560,Sense to gene-Rv1070c
Rev-sRNA-587,1195448,1195493,Sense to gene-Rv1071c
Rev-sRNA-589,1197977,1198280,Intergenic
Rev-sRNA-591,1198665,1198711,Sense to gene-Rv1074c
Rev-sRNA-592,1199274,1199385,Sense to gene-Rv1074c
Rev-sRNA-593,1200023,1200143,Sense to gene-Rv1075c
Rev-sRNA-594,1203151,1203270,Intergenic
Rev-sRNA-595,1205224,1205412,Sense to gene-Rv1080c
Rev-sRNA-597,1205710,1205743,Sense to gene-Rv1080c
Rev-sRNA-598,1205749,1205805,Sense to gene-Rv1080c
Rev-sRNA-599,1205932,1205963,Intergenic
Rev-sRNA-600,1206315,1206419,Sense to gene-Rv1081c
Rev-sRNA-601,1207016,1207066,Antisense to gene-Rv1082
Rev-sRNA-602,1212561,1212593,Antisense to gene-Rv1087
Rev-sRNA-603,1220128,1220186,Intergenic
Rev-sRNA-604,1220388,1220443,Intergenic
Rev-sRNA-607,1225200,1225242,Antisense to gene-Rv1096
Rev-sRNA-608,1225519,1225722,Sense to gene-Rv1097c
Rev-sRNA-610,1226026,1226124,Sense to gene-Rv1097c
Rev-sRNA-611,1226290,1226375,Sense to gene-Rv1098c
Rev-sRNA-612,1227349,1227370,Sense to gene-Rv1098c
Rev-sRNA-613,1227396,1227424,Sense to gene-Rv1098c
Rev-sRNA-615,1227495,1227573,Sense to gene-Rv1098c
Rev-sRNA-616,1230563,1230640,Intergenic
Rev-sRNA-618,1233580,1233704,Sense to gene-Rv1106c
Rev-sRNA-620,1234749,1234777,Sense to gene-Rv1108c
Rev-sRNA-621,1234785,1234814,Sense to gene-Rv1108c
Rev-sRNA-622,1234831,1234858,Sense to gene-Rv1108c
Rev-sRNA-623,1235391,1235636,Sense to gene-Rv1109c
Rev-sRNA-626,1237105,1237234,Antisense to gene-Rv1110
Rev-sRNA-627,1237241,1237365,Sense to gene-Rv1111c
Rev-sRNA-628,1246684,1246748,Sense to gene-Rv1123c
Rev-sRNA-629,1258995,1259023,Antisense to gene-Rv1132
Rev-sRNA-630,1259037,1259140,Sense to gene-Rv1133c
Rev-sRNA-631,1259254,1259478,Sense to gene-Rv1133c
Rev-sRNA-632,1259504,1259635,Sense to gene-Rv1133c
Rev-sRNA-633,1259899,1260261,Sense to gene-Rv1133c
